question,reference_answer,generated_answer,bleu1,rougeL
Which autophagy pathway is trigered by the KFERQ motif of cytosolic proteins?,"Cytosolic proteins carrying the KFERQ motif (a specific lysosomal import consensus sequence) are directed to a selective form of lysosomal degradation, called chaperone-mediated autophagy (CMA), as chaperone protein Hsc73 and other chaperones are involved in this process.",Thetosolic proteins are the KFERQ motif areK motif motifysosomal motif factor motif) are involved to the specific aut of theysosomal transcription. which autaperone-mediated autophagy.CIP) which wellaperone- (21. H cytaperone. required in the process.,0.36193496721438384,0.3013698630136986
Is Enlimomab effective for stroke treatment?,No. Anti-ICAM therapy with enlimomab is not an effective treatment for ischemic stroke in and may significantly worsen stroke outcome.,Thetosolic proteins are the KFERQ motif areK motif motifysosomal motifation motif) are involved to the specific pathway of cytysosomal exc. which autaperone-mediated autophagy.CIP) which wellaperone- (21. H cytaperone. directed in the process.,0.07692307692307693,0.036363636363636355
What is BioASQ?,"BIOASQ assesses the ability of systems to semantically index very large numbers of biomedical scientific articles, and to return concise and user-understandable answers to given natural language questions by combining information from biomedical articles and ontologies. ","Yes, En-inflammatoryD is is Enlimomab is not effective effective treatment for strokechemic stroke. patients of be reduce stroke risk.",0.06589432925315801,0.03508771929824561
What is another name for the plant Sideritis scardica?,Sideritis scardica is also known as ironwort or mountain tea.,"Yes, En-inflammatoryDab is Enlimomab did not effective effective treatment for strokechemic stroke. patients of be reduce stroke outcome.",0.09523809523809525,0.06896551724137931
Which protein is found to be mutated in Friedreich's ataxia?,"It is generally accepted that Friedreich's ataxia (FRDA) is caused by a deficiency in frataxin expression, a mitochondrial protein involved in iron homeostasis, which mainly affects the brain, dorsal root ganglia of the spinal cord, heart and in certain cases the pancreas","F is found thought that thereich's ataxia isFA) is a by a mutation of theanrinin-. which protein protein that in the metabolismostasis, and is affects the iron. and nervous,lia, the eye cord, and, lungs the tissues, spinalreas.",0.4897959183673469,0.3658536585365854
Where does REGN5458 bind to?,The bispecific antibody REGN5458 binds to B-cell maturation antigen (BCMA) and CD3.,"F is known thought that thereich's ataxia isFAT) is caused by a mutation of theaternalrinin (. which protein protein that in the-ostasis, and is affects the expressionstem and nervous,lia, the thor cord, and, lungs the other, spinalreas.",0.08333333333333333,0.07692307692307693
What is the Shelterin complex?,"Human telomeres are associated with the shelterin complex which consists of six telomere-associated proteins that specifically bind to telomeric DNA. Alterations or removal of individual shelterin components would lead to telomere uncapping and telomere dysfunction, resulting in cellular senescence and transformation to a malignant state.",RE REpecific RE REGN5458 binds to the-cell-RN factor (BA) isMA-,0.0041489223639886615,0.034482758620689655
What cellular process is the protein clathrin involved in?,Clathrin is a central regulator of endocytosis in all eukaryotes that plays a role in bacterial and plastid differentiation,RE REulfcific RE REGN5458 binds to the-cell-RN protein (BA) and BMA-,0.048485629738209225,0.0625
Please list the 2 vaccines for herpes zoster(shingles),live attenuated zoster vaccine (Zostavax®) and live attenuates herpes zoster (Shingles) are effective for treatment of infections with herpesZoster(shingles).,The-uated herpesoster( (Vosteravax)) is z attenuated z zoster (shingles) vaccine the for the of herpes with herpes zoster (shingles).,0.5714285714285714,0.35
Is Adamts18 deficiency associated with cancer?,Yes. ADAMTS18 is a novel tumor suppressor and is critical to the pathology of human colorectal cancer. Adamts18 deficiency enhances tumorigenesis and intestinal inflammation through elevated Wnt/β-catenin and p38MAPK/ERK1/2 signaling and promotes colon cancer in this mouse model.,The-uated herpesoster( (Vosteravax)) is z attenuated z zoster vaccineshingles) infection the vaccines the of herpes with herpes zoster (shingles).,0.08820769954041094,0.09836065573770492
